id,line_id,firm,org,neworg,finalorg,mission,category,issue,comments,amlawrank
8,16,Alston & Bird,Volunteer Lawyers for the Arts,,Volunteer Lawyers for the Arts,Our Mission <newline>Since 1969 Volunteer Lawyers for the Arts has been the leading provider of pro bono legal services mediation services educational programs and publications and advocacy to the arts community in the New York area. Through public ad,1,Culture,,57
8,15,Alston & Bird,Women In Need,,Women In Need,Women In Need Inc. (WIN) founded in 1983 today serves over 8500 people including 5000 children who are homeless and disadvantaged. We strive to restore dignity promote independence and provide stable housing to vulnerable families who face major obs,3,Women's Rights,,57
11,22,Andrews Kurth,Dallas Volunteer Attorney Program,,Dallas Volunteer Attorney Program,This is a legal services organization in Dallas. The link in google for the Volunteer program takes you to the legal aid organization of northwest texas. http://www.lanwt.org/whatislanwt.asp,2,Legal Services,,95
11,23,Andrews Kurth,East Dallas Legal Clinic,,East Dallas Legal Clinic,East Dallas Legal Clinic is part of the Dallas Volunteer Attorney Program. http://www.dallasbar.org/dvap/,2,Legal Services,,95
11,26,Andrews Kurth,Environmental Defense Fund,,Environmental Defense Fund,Mission Statement <newline>Environmental Defense Fund is a leading national nonprofit organization representing more than 500000 members. Since 1967 we have linked science economics and law to create innovative equitable and cost-effective solutions t,3,Environment,,95
11,25,Andrews Kurth,Gladney Center,,Gladney Center,A Tradition of Trust -- Gladney opened its doors more than a century ago as one man's mission to find appropriate homes for children. Today the Gladney Center for Adoption is an international leader in adoption services placing more than 28000 children,3,Children,,95
11,27,Andrews Kurth,Houston Forum,,Houston Forum,"Our Mission <newline>The mission of The Houston Forum is taken from the words of our city's namesake Sam Houston: <newline>\...in the diversity of opinion democracy may rest securely.\"" <newline>Individuals invited to speak from our platform come from a ",3,Other,,95
11,28,Andrews Kurth,Houston SPCA,,Houston SPCA,WELCOME. The Houston SPCA was founded in 1924 and remains Houston's oldest and largest Animal Protection Organization. Completely privately funded we are proud to serve more than 100000 animals annually. We remain committed to our mission to promote com,3,Animals,,95
11,21,Andrews Kurth,Houston Volunteer Lawyers Program,Houston Bar Association,Houston Bar Association,Mission Statement <newline>The mission of Houston Volunteer Lawyer Program is to provide pro bono legal services to low-income men and women of Harris County and to promote volunteerism among the legal community. http://www.ehvlp.org/aboutus/default.aspx,2,Legal Services,,95
,,Arent Fox,Appleseed Foundation,,Appleseed Foundation,Appleseed helps promote Center work serves as a clearinghouse of projects and project successes and provides training and technical assistance particularly in communications development project management and board development as well as in the substantive areas of education immigration financial access health care and hurricane recovery.,3,Other,,137
,,Arent Fox,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Committee's major objective is to use the skills and resources of the bar to obtain equal opportunity for minorities by addressing factors that contribute to racial justice and economic opportunity. Given our nation's history of racial discrimination de jure segregation and the de facto inequities that persist the Lawyers' Committee's primary focus is to represent the interest of African Americans in particular other racial and ethnic minorities and other victims of discrimination where doing so can help to secure justice for all racial and ethnic minorities.,3,Civil Rights/Civil Liberties,,137
,,Arent Fox,Parents for Autistic Children,,Parents for Autistic Children,Founded in 1999 POAC's mission is to improve the lives of children and adults with autism by providing scientifically-based training to parents teachers and other direct service providers. POAC supports ongoing quality research on the causes of autism its symptoms prevention and a potential cure.,3,Health/Disability,,137
,,Arent Fox,The Legal Aid Society of New York,Legal Aid Society,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,137
,,Arent Fox,The Legal Aid Society of the District of Columbia,Legal Aid Society of the District of Columbia,Legal Aid Society of the District of Columbia,The Legal Aid Society of the District of Columbia was formed in 1932 to provide civil legal aid to individuals families and communities in the District who could not otherwise afford to hire a lawyer. Over the last 75 years Legal Aid has helped tens of ,2,Legal Services,,137
,,Arent Fox,The National Hospice and Palliative Care Organization,,The National Hospice and Palliative Care Organization,Hospice affirms the concept of palliative care as an intensive program that enhances comfort and promotes the quality of life for individuals and their families. When cure is no longer possible hospice recognizes that a peaceful and comfortable death is an essential goal of health care. Hospice believes that death is an integral part of the life cycle and that intensive palliative care focuses on pain relief comfort and enhanced quality of life as appropriate goals for the terminally ill. Hospice also recognizes the potential for growth that often exists within the dying experience for the individual and his/her family and seeks to protect and nurture this potential.,3,Health/Disability,,137
,,Arent Fox,The US Holocaust Memorial Museum,,The US Holocaust Memorial Museum,The MuseumÍs primary mission is to advance and disseminate knowledge about this unprecedented tragedy; to preserve the memory of those who suffered; and to encourage its visitors to reflect upon the moral and spiritual questions raised by the events of the Holocaust as well as their own responsibilities as citizens of a democracy.,1,Culture,,137
,,Arent Fox,Whitman-Walker Legal Clinic,,Whitman-Walker Legal Clinic,Our mission is to be the highest quality culturally competent community health center serving greater WashingtonÍs diverse urban community including individuals who face barriers to accessing care and with a special expertise in LGBT and HIV care. ,3,LGBT,,137
,,Arent Fox,Women Empowered Against Violence,,Women Empowered Against Violence,WEAVE works closely with adult and teen survivors of relationship violence and abuse providing an innovative range of legal counseling economic and educational services that leads survivors to utilize their inner and community resources achieve safety,3,Women's Rights,,137
15,29.1,Arnold & Porter,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,46
15,29.2,Arnold & Porter,ACLU,ACLU ,ACLU,The ACLU's Reproductive Freedom Project protects everyone's right to make informed decisions free from government interference about whether and when to become a parent. Learn more about our work in reproductive health and take action to protect rights gu,3,Women's Rights,,46
15,30,Arnold & Porter,Americans United for Separation of Church and State,,Americans United for Separation of Church and State,Americans United is an independent organization with no ties to any larger group or political movement. We are a true grassroots organization. Thanks to your support Americans United is able to defend separation of church and state in the courts educate,3,Civil Rights/Civil Liberties,,46
15,31,Arnold & Porter,Habitat for Humanity,,Habitat for Humanity,Habitat for Humanity Mission <newline>Habitat for Humanity works in partnership with God and people everywhere from all walks of life to develop communities with people in need by building and renovating houses so that there are decent houses in decent ,3,Housing/Homeless,,46
15,33,Arnold & Porter,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,46
15,32,Arnold & Porter,Innocence Project,,Innocence Project,Mission Statement <newline>The Innocence Project was founded in 1992 by Barry C. Scheck and Peter J. Neufeld at the Benjamin N. Cardozo School of Law at Yeshiva University to assist prisoners who could be proven innocent through DNA testing. To date 234 ,3,Prisoner's Rights,,46
15,34,Arnold & Porter,NAACP,,NAACP,Our Mission <newline>The mission of the National Association for the Advancement of Colored People is to ensure the political educational social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. <n,3,Civil Rights/Civil Liberties,,46
15,35,Arnold & Porter,National Women's Law Center,,National Women's Law Center,Since 1972 the Center has expanded the possibilities for women and girls in this country. The Center uses the law in all its forms: getting new laws on the books and enforced; litigating ground-breaking cases in state and federal courts all the way to th,3,Women's Rights,,46
15,36,Arnold & Porter,Natural Resources Defense Council,,Natural Resources Defense Council,About NRDC: Mission Statement <newline>The Natural Resources Defense Council's purpose is to safeguard the Earth: its people its plants and animals and the natural systems on which all life depends. <newline>We work to restore the integrity of the elemen,3,Environment,,46
15,37.1,Arnold & Porter,People for the American Way,,People for the American Way,Our Mission and Vision <newline>People For the American Way is dedicated to making the promise of America real for every American: Equality. Freedom of speech. Freedom of religion. The right to seek justice in a court of law. The right to cast a vote that,3,Civil Rights/Civil Liberties,,46
15,37.2,Arnold & Porter,Southern Center for Human Rights,,Southern Center for Human Rights,The Southern Center for Human Rights is dedicated to ending capital punishment mass incarceration and other criminal justice practices that are used to control the lives of poor people people of color and other marginalized groups in the Southern Unit,3,Prisoner's Rights,,46
19,38,Baker & Hostetler,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,73
19,41,Baker & Hostetler,Mchem Pharma Group of Xiamen China,,Mchem Pharma Group of Xiamen China,MCHEM'S PROFILE <newline>MCHEM is a professional pharmaceutical company with market leading position in HIV/AIDS intermediates APIs and FDFs. We focus on providing affordable and high quality products to China domestic market and the whole world market. ,3,Health/Disability,,73
19,40,Baker & Hostetler,William J Clinton Foundation's HIV/AIDS  Initiative,,William J Clinton Foundation's HIV/AIDS  Initiative,Our Approach <newline>The Clinton HIV/AIDS Initiative (CHAI) applies a unique business-oriented approach to changing the market for medicines and diagnostics and supporting developing countries to scale up HIV/AIDS care and treatment programs through thre,3,Health/Disability,,73
19,39,Baker & Hostetler,WITNESS,,WITNESS,Mission <newline>WITNESS uses video and online technologies to open the eyes of the world to human rights violations. We empower people to transform personal stories of  abuse into powerful tools for justice promoting public engagement and policy change.,3,Human Rights/International,,73
20,44,Baker & McKenzie,Brennan Center for Justice,,Brennan Center for Justice,The Brennan Center for Justice at New York University School of Law is a non-partisan public policy and law institute that focuses on fundamental issues of democracy and justice. Our work ranges from voting rights to redistricting reform from access to t,3,Civil Rights/Civil Liberties,,
20,47,Baker & McKenzie,Capital Area Immigrant Rights Coalition,,Capital Area Immigrant Rights Coalition,The Capital Area Immigrants' Rights Coalition (CAIR Coalition) provides services to the immigrant advocacy community in the greater Washington DC metropolitan area. CAIR Coalition brings together community groups pro bono attorneys volunteers and immig,3,Immigration,,
20,45,Baker & McKenzie,Center for Constitutional Rights,,Center for Constitutional Rights,The Center for Constitutional Rights is dedicated to advancing and protecting the rights guaranteed by the United States Constitution and the Universal Declaration of Human Rights. Founded in 1966 by attorneys who represented civil rights movements in the,3,Civil Rights/Civil Liberties,,
20,46.1,Baker & McKenzie,Council of Parent Attorneys and Advocates,,Council of Parent Attorneys and Advocates,Mission <newline>The Council of Parent Attorneys and Advocates Inc. (COPAA) is an independent nonprofit å_501(c)(3) tax-exempt organization of attorneys special education advocates and parents. COPAA's mission is to be a national voice for special edu,3,Health/Disability,,
20,46.2,Baker & McKenzie,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,
20,50,Baker & McKenzie,Lawyers for Children America,,Lawyers for Children America, <newline>Our Mission - Lawyers for Children America is a lead child advocacy organization protecting the rights of children who are victims of abuse; abandonment and neglect by providing quality pro bono legal representation and collaborating for systema,3,Children,,
20,48,Baker & McKenzie,Northwestern University School Law Children and Family Justice Center,,Northwestern University School Law Children and Family Justice Center,The Children and Family Justice Center (CFJC) is a comprehensive children's law center where law students under the supervision of attorneys and clinical professors represent young people on matters of delinquency and crime family violence school disc,3,Children,,
20,42,Baker & McKenzie,Oracle Education Foundation,,Oracle Education Foundation,We inspire students globally to think connect create and share -- using technology to help them dissolve boundaries fulfill their potential and create a better society. <newline>The Oracle Foundation is an independent charitable 501(c)(3) organizati,3,Education,,
20,43.1,Baker & McKenzie,Public International Law & Policy Group,,Public International Law & Policy Group,The Public International Law & Policy Group (PILPG) a 2005 Nobel Peace Prize nominee is a 501(c)(3) non-profit organization which operates as a global pro bono law firm providing free legal assistance to states and governments involved in conflicts. To,3,Human Rights/International,,
20,49,Baker & McKenzie,San Mateo County Legal Aid,Legal Aid Society of San Mateo County,Legal Aid Society of San Mateo County, <newline>The Legal Aid Society is a private non-profit law firm providing civil legal services since 1959 to low-income families seniors persons with disabilities and domestic violence survivors in San Mateo County. <newline>Legal Aid has a history of,2,Legal Services,,
20,43.2,Baker & McKenzie,Save the Children International,,Save the Children International,Our Mission <newline>Save the Children fights for children's rights. We deliver immediate and lasting improvements to children's lives worldwide. <newline>Our Vision <newline>Save the Children is the world's largest independent organisation for children ,3,Children,,
,,Baker and Daniels,7th Circuit Pro Bono Appellate Program,,7th Circuit Pro Bono Appellate Program,,3,Prisoner's Rights,,176
,,Baker and Daniels,Child Advocates Inc,,Child Advocates Inc,Child Advocates Inc. mobilizes court appointed volunteers to break the vicious cycle of child abuse. We speak up for abused children who are lost in the system and guide them into safe environments where they can thrive.,3,Children,,176
,,Baker and Daniels,Community Development Law Center,,Community Development Law Center,CDLCÍs mission is to empower low-income people by providing high quality pro bono legal and related services to new and existing Indiana nonprofit community organizations that serve low-income neighborhoods.,2,Legal Services,,176
,,Baker and Daniels,Indianapolis Bar Association,,Indianapolis Bar Association,The Mission of the Indianapolis Bar Foundation is to advance justice and lead positive change in Indianapolis through philanthropy education and service.,4,Profession,,176
,,Baker and Daniels,Legal Services Organization of Indiana,Indiana Legal Services,Indiana Legal Services,The Mission of Indiana Legal Services Inc. is to use our resources to provide poor people with a wide variety of aggressive quality legal services which will effectively help them to gain equal access to the courts; empower them to control their lives; and impact on the major causes and effects of poverty.,2,Legal Services,,176
,,Baker and Daniels,Neighborhood Christian Legal Clinic,,Neighborhood Christian Legal Clinic,Neighborhood Christian Legal Clinic is a non-profit 501(c)(3) corporation offering pro bono legal representation and preventive law education to low income families including immigrant families. We accept clients in the greater Indianapolis metro area whose income is at or below 125% of the federal poverty guidelines.,2,Legal Services,,176
,,Baker and Daniels,Protective Order Pro Bono Project,,Protective Order Pro Bono Project,ICADV works to eliminate domestic violence through the implementation of prevention programs including public education advocacy for system and societal change influencing public policy and allocation of resources. Until the violence is ended ICADV works to promote strengthen and provide quality comprehensive services for member programs and all individuals affected by domestic violence across the state. ,3,Women's Rights,,176
,,Ballard Spahr Andrews and Ingersoll,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,102
,,Ballard Spahr Andrews and Ingersoll,American Bar Association Immigrant Detention Standards Project,ABA,ABA,The Commission directs the AssociationÍs efforts to ensure fair treatment and full due process rights for immigrants and refugees within the United States.,3,Immigration,,102
,,Ballard Spahr Andrews and Ingersoll,Homeless Advocacy Project,,Homeless Advocacy Project,The Homeless Advocacy Project (HAP) exists to meet the legal and advocacy needs of homeless individuals and families in Philadelphia.,3,Housing/Homeless,,102
,,Ballard Spahr Andrews and Ingersoll,LawWorks,,LawWorks,LawWorks is an independent charity with a mission to support promote and encourage a commitment to pro bono across the solicitors' profession and in doing so provide free legal advice to individuals and non-profits in need.æ,2,Legal Services,,102
,,Ballard Spahr Andrews and Ingersoll,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal mission of the Lawyers' Committee is to secure through the rule of law equal justice under law.,3,Civil Rights/Civil Liberties,,102
,,Ballard Spahr Andrews and Ingersoll,Rocky Mountain Childrens Law Center,,Rocky Mountain Childrens Law Center,The mission of the Rocky Mountain ChildrenÍs Law Center is to protect and save the lives of abused and neglected children through zealous legal advocacy innovative programs and public policy reform.,3,Children,,102
,,Ballard Spahr Andrews and Ingersoll,Senior Law Center,,Senior Law Center,For nearly three decades Community Legal Services Inc. (CLS) has provided the highest quality legal assistance to the needy with the ongoing support of the Philadelphia Bar Association and the legal community. Our mission is to help low-income Philadelp,3,Elder,,102
,,Ballard Spahr Andrews and Ingersoll,Volunteer Lawyers for the Arts,,Volunteer Lawyers for the Arts,Our Mission <newline>Since 1969 Volunteer Lawyers for the Arts has been the leading provider of pro bono legal services mediation services educational programs and publications and advocacy to the arts community in the New York area. Through public ad,1,Culture,,102
,,Ballard Spahr Andrews and Ingersoll,Whitman-Walker Legal Clinic,,Whitman-Walker Legal Clinic,Our mission is to be the highest quality culturally competent community health center serving greater Washington's diverse urban community including individuals who face barriers to accessing care and with a special expertise in LGBT and HIV care. <new,3,LGBT,,102
,,Barnes and Thornburg,Handicapable Hands Inc,,Handicapable Hands Inc,The mission of Handi-Capable Hands is to provide jobs skills and hope through supportive employment educational therapeutic and social services to developmentally challenged adults in the Greater Indianapolis area.,3,Health/Disability,,129
,,Barnes and Thornburg,Heartland Pro Bono Council,,Heartland Pro Bono Council,HeartlandÍs primary mission has always mirrored the goals set out in Rule 6.5 of the Indiana Rules of Professional Conduct which are as follows: <promote pro bono services and programs>,4,Profession,,129
,,Barnes and Thornburg,Legal Aid Society of Indianapolis,,Legal Aid Society of Indianapolis,The Indianapolis Legal Aid Society is dedicated to ensuring that qualified low income persons living in the central Indiana community have immediate and direct access to quality legal assistance for civil disputes.,2,Legal Services,,129
,,Barnes and Thornburg,Neighborhood Legal Christian Clinic,,Neighborhood Legal Christian Clinic,Neighborhood Christian Legal Clinic is a non-profit 501(c)(3) corporation offering pro bono legal representation and preventive law education to low income families including immigrant families. We accept clients in the greater Indianapolis metro area whose income is at or below 125% of the federal poverty guidelines.,2,Legal Services,,129
,,Barnes and Thornburg,Rainbow's End,,Rainbow's End,RainbowÍs END mission is to nurture strong self-esteem and positive self-image for individuals with disabilities in Central Indiana through adaptive sports and activities while also serving as a source of education for the community to increase awareness and understanding of disabilities.,3,Health/Disability,,129
,,Barnes and Thornburg,St Monica Parish,,St Monica Parish,From the moment of our first welcome we will care for one another reach out to those who are hurting and help all to belong. Through spiritual guidance and healing we will transform our spirits and open our hearts to GodÍs Word. Through spiritual formation and Catholic education we will grow in our faith in God and commit to being faithful followers of Jesus Christ.,3,Religion,,129
31,51,Bingham McCutchen,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,27
31,55,Bingham McCutchen,Boston Bar Association Business Law Pro Bono Project,,Boston Bar Association Business Law Pro Bono Project,In fall of 2001 the Clearinghouse began administering the Boston Bar Association's Business Law Pro Bono Project (BLP). The project was designed to bring more pro bono opportunities to business and transactional attorneys. While many pro bono projects ta,3,Nonprofits,,27
31,54,Bingham McCutchen,Clearinghouse on Affordable Housing and Homelessness,,Clearinghouse on Affordable Housing and Homelessness,To promote the development of affordable housing reduce homelessness and strengthen communities by providing pro bono legal services to nonprofit organizations and to individuals who are homeless or at risk of becoming homeless.www.lawyersclearinghouse.,3,Housing/Homeless,,27
31,52,Bingham McCutchen,Law Works for People /Connecticut Bar Association,,Law Works for People /Connecticut Bar Association,The Law Works for People is a statewide voluntary pro bono program developed by the Connecticut Bar Association and the state's legal aid agencies to improve access to the legal system for people in need. The Law Works for People links organizations assig,2,Legal Services,,27
31,53,Bingham McCutchen,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,27
31,56,Bingham McCutchen,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,27
31,57,Bingham McCutchen,Planned Parenthood Federation,,Planned Parenthood Federation, <newline>Mission <newline>The mission of Planned Parenthood Federation of America shall be to provide <newline>leadership in <newline>ensuring the provision of comprehensive reproductive and complementary health care services in settings that preserve an,3,Women's Rights,,27
31,58,Bingham McCutchen,Prison Law Office,,Prison Law Office,For over 30 years this nonprofit public interest law firm has been in the forefront of legal efforts to enforce the Constitution and other laws inside the walls of California's prisons. With a small staff of attorneys and support personnel the Prison Law,3,Prisoner's Rights,,27
31,59,Bingham McCutchen,Say Yes to Education,,Say Yes to Education,The mission of Say Yes To Education is to value and realize the promise and extraordinary potential of economically disadvantaged youth and families. Say Yes recognizes the daunting challenges faced by children living in poverty and believes children can,3,Education,,27
31,60,Bingham McCutchen,Volunteer Lawyers Project in Boston,Boston Bar Association,Boston Bar Association, Our Mission <newline>The mission of the Volunteer Lawyers Project of the Boston Bar Association is: <newline>a) to provide high quality pro bono legal services in a broad range of civil matters to eligible residents of the greater Boston area including,2,Legal Services,,27
36,61,Blank Rome,Children's Law Center,,Children's Law Center,The Children's Law Center (CLC) envisions a future for the District of Columbia in which every child has a safe home a meaningful education and a healthy mind and body. We work towards this vision by providing legal services to at-risk children and their,3,Children,,76
